word,tag
gid,FIL
siya,FIL
bah,OTH
Ang,FIL
buong,FIL
team,OTH
payaman,FIL
ang,FIL
naging,FIL
Go,ENG
To,ENG
videos,ENG
ko,FIL
lalo,FIL
na,FIL
yung,FIL
kasagsagan,FIL
ng,FIL
pandemic,ENG
napanood,FIL
ko,FIL
ata,FIL
lahat,FIL
ng,FIL
buong,FIL
videos,ENG
ni,FIL
cong,OTH
.,OTH
Dagdag,FIL
pa,FIL
riyan,FIL
",",OTH
naipapakita,FIL
nila,FIL
na,FIL
sa,FIL
kabila,FIL
ng,FIL
mga,FIL
makailang,FIL
panggigipit,FIL
ng,FIL
pamahalaan,FIL
",",OTH
hindi,FIL
sila,FIL
tumatalikod,FIL
at,FIL
handang,FIL
makipagtulungan,FIL
.,OTH
Pero,FIL
ang,FIL
tanung,FIL
ikaw,FIL
diba,FIL
may,FIL
mga,FIL
pera,FIL
ka,FIL
marame,FIL
at,FIL
wag,FIL
kang,FIL
magkakaila,FIL
.,OTH
shuta,OTH
nga,FIL
classmate,ENG
ni,FIL
",",OTH
sya,FIL
pa,FIL
gaubra,FIL
sang,FIL
formula,ENG
ya,FIL
tas,FIL
chakto,FIL
man,FIL
ang,FIL
answer,ENG
Kung,FIL
ang,FIL
lahat,FIL
ng,FIL
sinambit,FIL
ng,FIL
Diyos,FIL
ay,FIL
naayon,FIL
sa,FIL
mga,FIL
pagkakaintindi,FIL
ng,FIL
mga,FIL
tao,FIL
",",OTH
kokondenahin,FIL
ba,FIL
nila,FIL
ito,FIL
?,OTH
Bakit,FIL
di,FIL
ka,FIL
sumuporta,FIL
sa,FIL
partylist,ENG
na,FIL
alam,FIL
mong,FIL
makakagawa,FIL
talaga,FIL
ng,FIL
pagbabago,FIL
?,OTH
Batay,FIL
sa,FIL
survey,ENG
",",OTH
siyam,FIL
sa,FIL
sampung,FIL
Pilipino,FIL
ang,FIL
nagtitiwala,FIL
sa,FIL
mga,FIL
ginagawang,FIL
aksiyon,FIL
ni,FIL
Pangulong,FIL
Duterte,OTH
para,FIL
matugunan,FIL
ang,FIL
matinding,FIL
krisis,FIL
na,FIL
dinaranas,FIL
ng,FIL
bansa,FIL
sa,FIL
COVID-19,OTH
.,OTH
Tiniyak,FIL
ni,FIL
David,OTH
sa,FIL
panayam,FIL
sa,FIL
Teleradyo,FIL
na,FIL
nasa,FIL
normal,ENG
na,FIL
lebel,FIL
pa,FIL
rin,FIL
ang,FIL
tubig,FIL
sa,FIL
mga,FIL
dam,ENG
kung,FIL
kaya,FIL
hindi,FIL
kakailanganing,FIL
magpakawala,FIL
ng,FIL
tubig,FIL
na,FIL
maaaring,FIL
maging,FIL
sanhi,FIL
ng,FIL
pagbaha,FIL
.,OTH
Tiniyak,FIL
naman,FIL
ni,FIL
Secretary,OTH
Duque,OTH
sa,FIL
Presidente,FIL
na,FIL
mayroong,FIL
allocation,ENG
plan,ENG
sa,FIL
bawat,FIL
rehiyon,FIL
at,FIL
lalawigan,FIL
ng,FIL
mga,FIL
bakuna,FIL
.,OTH
ang,FIL
ganda,FIL
ni,FIL
luxuria,OTH
nakaka,FIL
fall,ENG
Ipinagbubunyi,FIL
po,FIL
namin,FIL
ang,FIL
nanay,FIL
na,FIL
tulad,FIL
po,FIL
ninyo,FIL
na,FIL
tiniis,FIL
ang,FIL
lahat,FIL
at,FIL
ngayon,FIL
naman,FIL
ay,FIL
talaga,FIL
namang,FIL
umaani,FIL
na,FIL
ng,FIL
tagumpay,FIL
.,OTH
Yung,FIL
buhay,FIL
ko,FIL
parang,FIL
mga,FIL
issue,ENG
na,FIL
binabato,FIL
nila,FIL
kay,FIL
BBM,OTH
",",OTH
walang,FIL
bago,FIL
HAHAHAHA,OTH
Pang,FIL
camera,ENG
o,FIL
bibili,FIL
pa,FIL
ulit,FIL
ng,FIL
isa,FIL
pang,FIL
team,ENG
?,OTH
ewan,FIL
ko,FIL
pa,FIL
kung,FIL
hindi,FIL
matuwa,FIL
ang,FIL
mame,OTH
sa,FIL
sobrang,FIL
linis,FIL
ng,FIL
bahay,FIL
hahaha,OTH
yung,FIL
gusto,FIL
mo,FIL
ng,FIL
iarchive,OTH
Ako,FIL
hindi,FIL
ako,FIL
maniniwala,FIL
na,FIL
wala,FIL
na,FIL
cla,FIL
.,OTH
Wla,FIL
ng,FIL
bukang,FIL
bibig,FIL
etong,FIL
c,FIL
Karen,OTH
kundi,FIL
ang,FIL
tungkol,FIL
ky,FIL
apo,FIL
lakay,FIL
pinipilit,FIL
tlga,FIL
nia,FIL
ung,FIL
pghingi,FIL
ng,FIL
sorry,ENG
sa,FIL
lhat,FIL
ng,FIL
iniinterview,OTH
nia,FIL
solid,ENG
BIAS,ENG
ang,FIL
babaebg,FIL
eto,FIL
bakit,FIL
malakas,FIL
ang,FIL
feeling,ENG
ko,FIL
na,FIL
di,FIL
ko,FIL
dawaton,FIL
eme,OTH
Anyway,ENG
",",OTH
sa,FIL
ngayon,FIL
ay,FIL
ang,FIL
mga,FIL
TikTok,OTH
post,ENG
ni,FIL
Sarah,OTH
ang,FIL
makikita,FIL
sa,FIL
kanyang,FIL
Instagram,OTH
.,OTH
Tirahan,FIL
Namumuhay,FIL
ang,FIL
common,ENG
chimpanzee,OTH
sa,FIL
Kanluran,FIL
at,FIL
Gitnang,FIL
ang,FIL
dalawang,FIL
mga,FIL
uri,FIL
.,OTH
Classic,ENG
na,FIL
basurang,FIL
pulitiko,FIL
",",OTH
sisiraan,FIL
ang,FIL
kalaban,FIL
para,FIL
iangat,FIL
ang,FIL
sarili,FIL
.,OTH
